,serial,OBJ_ALG,FAR_ALG,OBJ_FAR_AGG,LDCM,human_obj,human_far,human_objfaragg
212,2107,1.023997255,1.724355273,1.374176264,1.295751546,4,5,4.5
213,2109,0.8909873,2.004606886,1.447797093,0.39128439,4,3,3.5
214,2117,0.240467022,0.535274746,0.387870884,0.461319932,2,6,4
215,2119,0.568848427,1.214841078,0.891844752,0.086426897,2,6,4
216,2131,1.140820651,2.61733237,1.879076511,0.29789149,2,5,3.5
217,2151,1.428185325,2.767898426,2.098041875,-0.568416217,3,5,4
218,2183,2.724694765,4.788280977,3.756487871,0.237578802,4,5,4.5
219,2185,0.579226253,2.61590449,1.597565371,-0.183684715,3,4,3.5
220,2191,0.331827244,0.334020645,0.332923944,-1.355225379,2,3,2.5
221,2192,0.513323402,1.181718355,0.847520879,0.192941451,3,6,4.5
222,2198,1.64723509,3.494517716,2.570876403,0.304202005,3,5,4
223,2210,0.775665468,1.668950443,1.222307956,0.680691107,3,6,4.5
224,2219,0.070502362,0.164266734,0.117384548,-0.456810809,2,4,3
225,2223,1.382636228,2.167521933,1.77507908,-1.255886202,3,4,3.5
226,2228,1.288066314,2.385583765,1.836825039,-0.439508257,5,3,4
227,2234,1.192407177,2.374474918,1.783441048,0.893252867,3,4,3.5
228,2249,2.22481842,5.007254859,3.61603664,0.463109777,1,2,1.5
229,2255,0.936397012,1.612032165,1.274214589,-0.642061991,3,2,2.5
230,2257,0.769037427,2.604275376,1.686656401,0.222754767,2,2,2
231,2274,1.540899532,3.25879146,2.399845496,0.231856414,2,5,3.5
232,2277,0.653050744,2.041303993,1.347177368,0.119948404,2,6,4
233,2289,1.927512285,4.990580123,3.459046204,0.842339162,4,4,4
234,2295,0.513323402,1.181718355,0.847520879,1.016830098,3,7,5
235,2306,1.919803172,2.972669651,2.446236411,0.16295265,2,5,3.5
236,2326,2.30516055,3.985020924,3.145090737,0.223479938,3,6,4.5
237,2335,1.163175154,1.394346653,1.278760903,-0.084908127,5,4,4.5
238,2343,0.513323402,1.181718355,0.847520879,-0.358551118,3,4,3.5
239,2344,1.481264606,4.471007648,2.976136127,0.200880049,6,5,5.5
240,2350,3.238875683,7.13971294,5.189294311,0.636328047,2,5,3.5
241,2366,0.767657774,1.271146457,1.019402115,-0.557016914,3,3,3
242,2368,1.943771599,4.837821447,3.390796523,0.537466116,3,6,4.5
243,2375,0.855168562,2.603559968,1.729364265,1.295751546,4,6,5
244,2378,3.076779322,6.771986231,4.924382776,0.368814075,3,5,4
245,2380,1.929567822,3.847199656,2.888383739,-0.366750031,5,5,5
246,2405,0.966867034,1.492348731,1.229607883,-0.240096798,3,5,4
247,2410,1.428937298,3.05644027,2.242688784,0.290917705,3,5,4
248,2411,3.289519846,7.23357518,5.261547513,0.573240268,2,5,3.5
249,2422,1.00719595,2.23687614,1.622036045,0.085464877,3,5,4
250,2435,1.338750988,2.238732785,1.788741886,-0.126098699,2,6,4
251,2443,0.906237211,1.296721832,1.101479521,0.330035273,3,5,4
252,2476,5.246548659,6.301714201,5.77413143,-0.220172383,3,6,4.5
253,2486,2.46112975,4.044559868,3.252844809,0.060921388,3,4,3.5
254,2491,1.562927005,2.493928487,2.028427746,-0.574976566,3,4,3.5
255,2501,0.927115854,1.671358608,1.299237231,-0.674549302,1.5,1.5,1.5
256,2523,1.934206113,3.242792711,2.588499412,-0.217479685,2.5,1,1.75
257,2528,2.07303684,4.535718306,3.304377573,0.397078286,1.5,7,4.25
258,2540,0.588148804,1.342541732,0.965345268,0.192941451,2,7,4.5
259,2542,1.665371518,4.344231877,3.004801698,-0.280724138,3,3,3
260,2558,1.741213324,5.496580787,3.618897055,0.342940087,3,7,5
261,2570,0.099431379,0.776051548,0.437741463,-0.254375563,2,3.5,2.75
262,2571,2.41124241,5.765961978,4.088602194,0.595405959,2,6.5,4.25
263,2580,1.615478455,3.654587686,2.63503307,0.640083423,2,6,4
264,2581,0.283934519,4.594761872,2.439348195,0.074469508,3.5,2,2.75
265,2609,0.654755194,1.909235215,1.281995205,-0.215507262,2.5,2.5,2.5
266,2622,1.111025028,1.579182687,1.345103857,-1.185268285,1.5,3.5,2.5
267,2634,0.492418084,1.048219234,0.770318659,0.338752504,2,4.5,3.25
268,2639,0.586328632,1.252604955,0.919466794,0.206694646,2.5,3.5,3
269,2646,2.731676768,5.485171518,4.108424143,0.463316347,4.5,5,4.75
270,2650,1.636383773,3.788086807,2.71223529,0.774723672,2.5,6.5,4.5
271,2656,1.575337018,3.082571362,2.32895419,-0.500852939,2,1,1.5
272,2657,0.075041794,0.163978709,0.119510252,-0.192176949,2,6,4
273,2661,0.724057529,1.549773911,1.13691572,-0.090138466,2.5,6.5,4.5
274,2679,0.609826217,0.284340809,0.447083513,-1.355225379,4,1.5,2.75
275,2708,0.324246208,0.136787297,0.230516752,-0.17663896,3,6,4.5
276,2709,0.276271665,0.801258941,0.538765303,-0.808419456,3.5,2,2.75
277,2715,0.885331893,1.16322271,1.024277302,0.095617388,2,3.5,2.75
278,2719,1.536125078,2.662122495,2.099123786,-0.402385519,3,4,3.5
279,2721,1.005741486,2.229937589,1.617839538,0.186991417,2.5,6.5,4.5
280,2722,0.45920732,0.271986891,0.365597106,-0.645826779,2,3.5,2.75
281,2742,1.57361787,2.422943622,1.998280746,-1.224897454,6.5,3.5,5
282,2744,1.123060371,2.606368452,1.864714411,0.148042283,2.5,4.5,3.5
283,2747,0.377760876,2.102836981,1.240298928,-0.280204634,2.5,5.5,4
284,2748,0.594981655,2.176099051,1.385540353,0.274594722,2,5.5,3.75
285,2771,2.390780294,6.013485423,4.202132859,0.134907314,5,2,3.5
286,2793,0.132087403,0.256314444,0.194200924,-0.66248679,3,1.5,2.25
287,2803,0.826163125,2.662313794,1.74423846,0.587369855,3,2,2.5
288,2813,2.774405486,5.782346614,4.27837605,0.338059977,3,5.5,4.25
289,2814,1.781223701,3.312976081,2.547099891,-0.086710067,2.5,5,3.75
290,2827,2.587970338,4.83769238,3.712831359,0.341072876,3,4.5,3.75
291,2828,1.349718457,5.800137975,3.574928216,0.976879465,2,6.5,4.25
292,2833,2.365027344,6.604439835,4.484733589,0.774723672,3.5,3.5,3.5
293,2843,1.169346352,1.582442057,1.375894204,0.05290539,3,4,3.5
294,2867,1.834915523,4.518507817,3.17671167,0.568588753,2.5,7,4.75
295,2873,0.906237211,2.309452,1.607844605,0.397078286,1.5,7,4.25
296,2889,0.324197734,0.159021833,0.241609783,-0.456810809,2,6.5,4.25
297,2891,3.241400472,6.0294501,4.635425286,0.29977438,2.5,3,2.75
298,2909,0.976692312,2.095857372,1.536274842,0.017844136,2,6.5,4.25
299,2912,0.925120773,2.018556574,1.471838674,0.151281151,3,3,3
300,2938,0.724472779,2.09512957,1.409801175,-0.251601335,2.5,6.5,4.5
301,2944,0.513323402,1.181718355,0.847520879,-0.081421235,1.5,6,3.75
302,2960,1.482119419,2.82827308,2.15519625,0.467874329,2,4,3
303,2968,0.559415404,1.453423731,1.006419568,0.204666477,3.5,2,2.75
304,2970,0.492418084,1.048219234,0.770318659,-0.084908127,2.5,4,3.25
305,2974,0.637704339,-0.317960159,0.15987209,-1.172506304,2,5.5,3.75
306,2983,0.727896289,0.567094212,0.64749525,-0.472168345,2,2.5,2.25
307,2984,0.985857846,2.097066354,1.5414621,0.261787496,1.5,4.5,3
308,2987,1.671765579,4.209924991,2.940845285,0.463316347,3,7,5
309,2995,1.314465511,3.500715415,2.407590463,0.151281151,3,2.5,2.75
310,3031,0.397250373,0.300450207,0.34885029,-0.360246444,2,6.5,4.25
311,3042,0.984836168,3.070662283,2.027749226,0.467874329,2.5,6.5,4.5
312,3071,1.409622151,3.174785389,2.29220377,0.066597815,1,7,4
313,3080,0.562920446,1.212485968,0.887703207,0.151281151,1.5,5,3.25
314,3099,1.719956099,3.368148442,2.54405227,0.029526958,1,4.5,2.75
315,3106,3.303219376,8.564983191,5.934101284,0.629378966,3,4,3.5
316,3109,0.567243486,1.20904261,0.888143048,-0.127406831,2.5,7,4.75
317,3116,1.483765325,2.26551425,1.874639788,0.052771492,5,5,5
318,3128,0.962187147,2.47939264,1.720789894,0.550896564,2,6.5,4.25
319,3132,0.651102336,0.307851845,0.479477091,-1.198037303,1,1,1
320,3155,2.917527377,6.750120891,4.833824134,0.875577808,2,6.5,4.25
