[ROOT-INFO]: 2019-07-15 19:22:40,817: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityPolarityAverage
[ROOT-INFO]: 2019-07-15 19:22:40,818: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:23:04,068: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:04,068: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,008: Old Score: 4.108695652173913, New Score: 1.3695652173913042
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,009: Old Score: 3.9787234042553186, New Score: 0.03978723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,025: Old Score: 5.7659574468085095, New Score: 0.0576595744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,025: Old Score: 5.291666666666667, New Score: 0.05291666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,042: Old Score: 5.3617021276595755, New Score: 0.053617021276595754
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,042: Old Score: 4.425531914893617, New Score: 0.04425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,058: Old Score: 5.489361702127661, New Score: 0.054893617021276604
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,074: Old Score: 3.6458333333333335, New Score: 0.036458333333333336
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,075: Old Score: 4.574468085106383, New Score: 2.859042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,090: Old Score: 3.739130434782609, New Score: 0.37391304347826093
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,107: Old Score: 2.8297872340425534, New Score: 0.028297872340425533
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,123: Old Score: 4.0, New Score: 1.2
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,123: Old Score: 5.127659574468085, New Score: 0.05127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,140: Old Score: 3.9375, New Score: 0.039375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,155: Old Score: 4.1875, New Score: 0.041875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,172: Old Score: 3.739130434782609, New Score: 2.430434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,172: Old Score: 3.1063829787234036, New Score: 0.031063829787234036
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,188: Old Score: 3.787234042553192, New Score: 1.5148936170212768
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,204: Old Score: 4.208333333333333, New Score: 4.208333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,205: Old Score: 3.9583333333333335, New Score: 0.03958333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,221: Old Score: 4.48936170212766, New Score: 0.897872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,236: Old Score: 2.9791666666666665, New Score: 1.4895833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,238: Old Score: 4.875, New Score: 0.04875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,253: Old Score: 4.0212765957446805, New Score: 3.8202127659574465
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,270: Old Score: 3.872340425531915, New Score: 0.9922872340425531
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,270: Old Score: 3.851063829787234, New Score: 0.03851063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,286: Old Score: 6.085106382978723, New Score: 0.8789598108747045
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,286: Old Score: 4.666666666666667, New Score: 0.04666666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,304: Old Score: 3.234042553191489, New Score: 1.7823167848699766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,321: Old Score: 3.782608695652174, New Score: 2.5217391304347823
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,339: Old Score: 3.234042553191489, New Score: 0.8085106382978723
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,355: Old Score: 3.6170212765957452, New Score: 1.3865248226950355
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,376: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,401: Old Score: 5.914893617021277, New Score: 0.059148936170212774
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,423: Old Score: 4.604166666666667, New Score: 0.04604166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,445: Old Score: 4.630434782608695, New Score: 0.04630434782608695
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,463: Old Score: 4.787234042553191, New Score: 2.69281914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,484: Old Score: 4.51063829787234, New Score: 4.51063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,504: Old Score: 4.319148936170213, New Score: 1.4397163120567376
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,537: Old Score: 3.8541666666666665, New Score: 1.5183080808080807
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,553: Old Score: 3.4444444444444446, New Score: 0.034444444444444444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,571: Old Score: 4.3617021276595755, New Score: 1.4539007092198584
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,587: Old Score: 5.425531914893617, New Score: 0.05425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,603: Old Score: 4.468085106382978, New Score: 0.04468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,605: Old Score: 4.604166666666667, New Score: 1.6114583333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,621: Old Score: 4.456521739130435, New Score: 0.7427536231884058
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,637: Old Score: 3.934782608695652, New Score: 1.967391304347826
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,653: Old Score: 4.829787234042553, New Score: 0.048297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,671: Old Score: 3.7083333333333335, New Score: 1.9866071428571428
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,712: Old Score: 3.6595744680851054, New Score: 0.18297872340425528
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,734: Old Score: 3.5106382978723403, New Score: 0.035106382978723406
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,754: Old Score: 4.5625, New Score: 0.045625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,803: Old Score: 3.8333333333333335, New Score: 1.3416666666666666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,837: Old Score: 3.6666666666666665, New Score: 1.222222222222222
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,854: Old Score: 4.0625, New Score: 0.040625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,870: Old Score: 3.8541666666666665, New Score: 0.03854166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,888: Old Score: 4.872340425531915, New Score: 0.04872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,911: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:23:06,926: Old Score: 4.521739130434782, New Score: 2.260869565217391
