[ROOT-INFO]: 2019-07-15 19:18:21,704: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:18:21,704: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:18:44,412: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:44,414: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,551: Old Score: 3.9583333333333335, New Score: 3.9583333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,570: Old Score: 4.48936170212766, New Score: 4.040425531914894
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,585: Old Score: 2.9791666666666665, New Score: 1.4895833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,602: Old Score: 4.875, New Score: 4.875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,618: Old Score: 4.0212765957446805, New Score: 1.6085106382978722
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,618: Old Score: 3.872340425531915, New Score: 3.364095744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,635: Old Score: 3.851063829787234, New Score: 3.851063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,635: Old Score: 6.085106382978723, New Score: 5.611820330969267
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,651: Old Score: 4.666666666666667, New Score: 4.666666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,669: Old Score: 3.234042553191489, New Score: 2.116501182033097
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,685: Old Score: 3.782608695652174, New Score: 3.593478260869565
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,701: Old Score: 3.234042553191489, New Score: 2.4255319148936167
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,701: Old Score: 3.6170212765957452, New Score: 3.2553191489361706
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,717: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,734: Old Score: 5.914893617021277, New Score: 5.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,750: Old Score: 4.604166666666667, New Score: 4.604166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,750: Old Score: 4.630434782608695, New Score: 4.630434782608695
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,768: Old Score: 4.787234042553191, New Score: 3.590425531914893
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,783: Old Score: 4.51063829787234, New Score: 2.25531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,795: Old Score: 4.319148936170213, New Score: 3.2393617021276597
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,807: Old Score: 3.8541666666666665, New Score: 3.1096117424242427
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,807: Old Score: 3.4444444444444446, New Score: 3.4444444444444446
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,822: Old Score: 4.3617021276595755, New Score: 3.780141843971632
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,838: Old Score: 5.425531914893617, New Score: 5.425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,839: Old Score: 4.468085106382978, New Score: 4.468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,855: Old Score: 4.604166666666667, New Score: 4.4027343750000005
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,872: Old Score: 4.456521739130435, New Score: 3.713768115942029
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,888: Old Score: 3.934782608695652, New Score: 3.738043478260869
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,888: Old Score: 4.829787234042553, New Score: 4.829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,905: Old Score: 3.7083333333333335, New Score: 2.648809523809524
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,922: Old Score: 3.6595744680851054, New Score: 3.6595744680851054
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,922: Old Score: 3.5106382978723403, New Score: 3.5106382978723403
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,940: Old Score: 4.5625, New Score: 4.5625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,956: Old Score: 3.8333333333333335, New Score: 3.45
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,971: Old Score: 3.6666666666666665, New Score: 2.75
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,972: Old Score: 4.0625, New Score: 4.0625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:46,988: Old Score: 3.8541666666666665, New Score: 3.8541666666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,004: Old Score: 4.872340425531915, New Score: 4.872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,015: Old Score: 3.914893617021277, New Score: 1.9574468085106385
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,033: Old Score: 4.521739130434782, New Score: 2.260869565217391
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,038: Old Score: 4.0, New Score: 4.0
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,056: Old Score: 4.25, New Score: 4.25
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,072: Old Score: 3.4347826086956523, New Score: 1.7173913043478262
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,072: Old Score: 3.9574468085106393, New Score: 3.7595744680851073
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,090: Old Score: 3.4255319148936163, New Score: 2.2836879432624113
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,090: Old Score: 3.3829787234042548, New Score: 0.6765957446808512
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,105: Old Score: 4.541666666666667, New Score: 3.6333333333333337
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,105: Old Score: 4.085106382978723, New Score: 3.2097264437689965
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,123: Old Score: 3.4166666666666665, New Score: 1.3666666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,139: Old Score: 3.5416666666666665, New Score: 2.6815476190476186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,156: Old Score: 3.5319148936170213, New Score: 3.3553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,172: Old Score: 5.1875, New Score: 5.1875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:18:47,175: Old Score: 4.468085106382978, New Score: 4.468085106382978
